,Unnamed: 0,Unnamed: 0.1,CASE_NO,Decision_Date,Case_Status,APPLICATION_TYPE,Employer_Name,Employer_address_1,Employer_address_2,Employer_City,Employer_State,Employer_Postal_Code,2007_NAICS_US_CODE,2007_NAICS_US_TITLE,US_ECONOMIC_SECTOR,PW_SOC_Code,PW_SOC_TITLE,PW_Job_Title_9089,PW_LEVEL_9089,PW_SOURCE_NAME_9089,PW_AMOUNT_9089,PW_UNIT_OF_PAY_9089,WAGE_OFFERED_FROM_9089,WAGE_OFFERED_TO_9089,WAGE_OFFERED_UNIT_OF_PAY_9089,Job_Info_Work_City,Job_Info_Work_State,Country_of_Citizenship,Class_of_Admission,Annual_Wage,Certified
930,26857,32613,A-13190-78458,2014/4/22 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2061,Computer Hardware Engineers,Computer Hardware Engineers,,Other,79702.0,Year,79702.0,142900.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,79702.0,1
931,26862,32619,A-13207-83296,2014/4/18 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,79702.0,Year,79702.0,142900.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,79702.0,1
932,26878,32636,A-13205-82769,2014/3/10 00:00:00,Certified-Expired,ONLINE,FILEMAKER INC.,5201 PATRICK HENRY DRIVE,,SANTA CLARA,CALIFORNIA,95052,541511,Custom Computer Programming Services,IT,11-2021.00,Marketing Managers,Marketing Managers,Level II,OES,134285.0,Year,138000.0,143000.0,Year,Santa Clara,CALIFORNIA,UNITED KINGDOM,H-1B,134285.0,1
933,26884,32646,A-13191-79031,2014/4/17 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,79702.0,Year,79702.0,142900.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,79702.0,1
934,26904,32670,A-13210-83875,2014/3/26 00:00:00,Certified-Expired,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",,Other,92926.0,Year,92926.0,142900.0,Year,Santa Clara,CALIFORNIA,INDONESIA,H-1B,92926.0,1
936,26966,32739,A-13217-85822,2014/3/17 00:00:00,Certified-Expired,ONLINE,MARVELL SEMICONDUCTOR INC,5488 MARVELL LANE,,SANTA CLARA,CALIFORNIA,95054,334413,Semiconductor and Related Device Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,108371.0,Year,108400.0,,Year,Santa Clara,CALIFORNIA,CHINA,H-1B,108371.0,1
938,27045,32837,A-13164-71739,2014/4/17 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level II,OES,85176.0,Year,85176.0,142900.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,85176.0,1
941,27113,32918,A-13120-60395,2014/1/17 00:00:00,Certified-Expired,ONLINE,"CIGNEX DATAMATICS, INC.","2350 MISSION COLLEGE BLVD, STE 490",,SANTA CLARA,CALIFORNIA,95054,541512,Computer Systems Design Services,IT,15-1132,"Software Developers, Applications","Software Developers, Applications",Level IV,OES,133328.0,Year,133328.0,,Year,SANTA CLARA,CALIFORNIA,INDIA,H-1B,133328.0,1
943,27129,32937,A-13164-71735,2014/4/28 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,79702.0,Year,79702.0,142900.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,79702.0,1
946,27158,32971,A-13182-76977,2014/2/27 00:00:00,Certified-Expired,ONLINE,"TRANSNATIVE ASSOCIATES, INC",5201 GREAT AMERICA PARKWAY,SUITE 256,SANTA CLARA,CALIFORNIA,95054,541511,Custom Computer Programming Services,IT,15-1131,Computer Programmers,Computer Programmers,Level II,OES,100984.0,Year,100984.0,,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,100984.0,1
948,27353,33212,A-13199-81120,2014/4/10 00:00:00,Certified,ONLINE,HITACHI DATA SYSTEMS CORPORATION,2845 LAFAYETTE STREET,,SANTA CLARA,CALIFORNIA,95050,541511,Custom Computer Programming Services,IT,15-1142,Network and Computer Systems Administrators*,Network and Computer Systems Administrators*,,Other,118007.0,Year,125000.0,,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,118007.0,1
954,27534,33434,A-13221-87351,2014/5/6 00:00:00,Certified,ONLINE,NVIDIA CORPORATION,2701 SAN TOMAS EXPRESSWAY,,SANTA CLARA,CALIFORNIA,95050,334111,Electronic Computer Manufacturing,Advanced Mfg,11-3021,Computer and Information Systems Managers,Computer and Information Systems Managers,,Other,151404.0,Year,164816.71,,Year,Santa Clara,CALIFORNIA,CANADA,H-1B,151404.0,1
955,27551,33452,A-13232-90063,2014/4/11 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",Level II,OES,100755.0,Year,100755.0,142900.0,Year,San Francisco,CALIFORNIA,INDIA,H-1B,100755.0,1
961,27735,33671,A-13303-08359,2014/5/22 00:00:00,Certified,ONLINE,"VERSA NETWORKS, INC",2953 BUNKER HILL LANE SUITE 210,,SANTA CLARA,CALIFORNIA,95054,334210,Telephone Apparatus Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",Level II,OES,110094.0,Year,110094.0,136136.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,110094.0,1
962,27847,33811,A-13322-16352,2014/5/27 00:00:00,Certified,ONLINE,O2MICRO INC.,3118 PATRICK HENRY DRIVE,,SANTA CLARA,CALIFORNIA,95054,3359,Other Electrical Equipment and Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level II,OES,105394.0,Year,105394.0,,Year,Santa Clara,CALIFORNIA,CHINA,H-1B,105394.0,1
963,27866,33832,A-13273-01784,2014/5/2 00:00:00,Certified,ONLINE,ALPHA NET CONSULTING LLC.,3080 OLCOTT STREET,SUITE # 235C,SANTA CLARA,CALIFORNIA,95054,541511,Custom Computer Programming Services,IT,15-1121,Computer Systems Analysts,Computer Systems Analysts,Level II,OES,98675.0,Year,98675.0,,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,98675.0,1
964,27906,33888,A-13242-93068,2014/4/21 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,82333.0,Year,82333.0,142900.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,82333.0,1
968,28039,34049,A-13316-14249,2014/6/24 00:00:00,Certified,ONLINE,NVIDIA CORPORATION,2701 SAN TOMAS EXPRESSWAY,,SANTA CLARA,CALIFORNIA,95050,334111,Electronic Computer Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",,Other,95408.0,Year,125000.0,129646.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,95408.0,1
969,28063,34076,A-13343-22928,2014/6/18 00:00:00,Certified,ONLINE,ALPHA NET CONSULTING LLC.,3080 OLCOTT STREET,SUITE # 235C,SANTA CLARA,CALIFORNIA,95054,541511,Custom Computer Programming Services,IT,15-1121,Computer Systems Analysts,Computer Systems Analysts,Level II,OES,79269.0,Year,79269.0,,Year,santa Clara,CALIFORNIA,INDIA,H-1B,79269.0,1
970,28094,34115,A-13360-27981,2014/7/8 00:00:00,Certified,ONLINE,INTEL AMERICAS INC.,2200 MISSION COLLEGE BLVD. RN4-151,,SANTA CLARA,CALIFORNIA,95054,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",Level III,OES,110677.0,Year,110677.0,171300.0,Year,San Francisco,CALIFORNIA,INDIA,H-1B,110677.0,1
972,28125,34152,A-13339-22156,2014/7/10 00:00:00,Certified,ONLINE,PERSISTENT SYSTEMS INC.,2055 LAURELWOOD ROAD,SUITE 210,SANTA CLARA,CALIFORNIA,95054,541512,Computer Systems Design Services,IT,15-1132,"Software Developers, Applications","Software Developers, Applications",Level III,OES,116605.0,Year,116605.0,,Year,SANTA CLARA,CALIFORNIA,INDIA,H-1B,116605.0,1
973,28137,34164,A-13338-21221,2014/8/27 00:00:00,Certified,ONLINE,ALPHA NET CONSULTING LLC.,3080 OLCOTT STREET,SUITE # 235C,SANTA CLARA,CALIFORNIA,95054,541511,Custom Computer Programming Services,IT,15-1121,Computer Systems Analysts,Computer Systems Analysts,Level I,OES,61693.0,Year,61693.0,,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,61693.0,1
974,28163,34195,A-13339-21946,2014/6/19 00:00:00,Certified,ONLINE,"ARISTA NETWORKS, INC.",5453 GREAT AMERICA PARKWAY,,SANTA CLARA,CALIFORNIA,95054,541511,Custom Computer Programming Services,IT,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",,Other,96939.0,Year,97000.0,110000.0,Year,Santa Clara,CALIFORNIA,CHINA,H-1B,96939.0,1
975,28183,34220,A-13335-19960,2014/6/5 00:00:00,Certified,ONLINE,"BODHTREE SOLUTIONS, INC",5201 GREAT AMERICA PARKWAY SUITE 532,,SANTA CLARA,CALIFORNIA,95054,54151,Computer Systems Design and Related Services,IT,15-1132,"Software Developers, Applications","Software Developers, Applications",Level IV,OES,134534.0,Year,134600.0,,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,134534.0,1
976,28208,34250,A-13339-22215,2014/6/23 00:00:00,Certified,ONLINE,"ARISTA NETWORKS, INC.",5453 GREAT AMERICA PARKWAY,,SANTA CLARA,CALIFORNIA,95054,541511,Custom Computer Programming Services,IT,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",,Other,96939.0,Year,97000.0,110000.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,96939.0,1
981,28483,34584,A-14080-54842,2014/8/25 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level II,OES,82285.0,Year,82285.0,142900.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,82285.0,1
982,28515,34620,A-14019-34001,2014/7/9 00:00:00,Certified,ONLINE,INFOSTRETCH CORPORATION,3200 PATRICK HENRY DRIVE,SUITE 250,SANTA CLARA,CALIFORNIA,95054,54151,Computer Systems Design and Related Services,IT,15-1132,"Software Developers, Applications","Software Developers, Applications",Level III,OES,116605.0,Year,116605.0,,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,116605.0,1
983,28544,34654,A-14027-36373,2014/9/3 00:00:00,Certified,ONLINE,NVIDIA CORPORATION,2701 SAN TOMAS EXPRESSWAY,,SANTA CLARA,CALIFORNIA,95050,334111,Electronic Computer Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",,Other,109410.0,Year,130000.0,157470.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,109410.0,1
987,28655,34784,A-14083-55118,2014/9/19 00:00:00,Certified,ONLINE,ALPHA NET CONSULTING LLC.,3080 OLCOTT STREET,SUITE # 235C,SANTA CLARA,CALIFORNIA,95054,541511,Custom Computer Programming Services,IT,15-1121,Computer Systems Analysts,Computer Systems Analysts,Level IV,OES,114421.0,Year,114421.0,,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,114421.0,1
990,28699,34831,A-14031-37702,2014/7/16 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level III,OES,124030.0,Year,124030.0,171300.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,124030.0,1
994,28783,34930,A-14077-53923,2014/8/26 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",,Other,94649.0,Year,95397.0,142900.0,Year,Santa Clara,CALIFORNIA,CHINA,H-1B,94649.0,1
995,28788,34936,A-14084-55446,2014/8/27 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",,Other,108836.0,Year,108836.0,171300.0,Year,Santa Clara,CALIFORNIA,TURKEY,H-1B,108836.0,1
996,28789,34937,A-14079-54499,2014/8/19 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,15-1121,Computer Systems Analysts,Computer Systems Analysts,Level III,OES,96845.0,Year,127150.0,171300.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,96845.0,1
997,28864,35022,A-14059-46462,2014/8/19 00:00:00,Certified,ONLINE,"INTEL MOBILE COMMUNICATIONS, INC.",2200 MISSION COLLEGE BLVD. RN4-151,,SANTA CLARA,CALIFORNIA,95054,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level III,OES,124030.0,Year,124030.0,171300.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,124030.0,1
1002,28947,35124,A-14071-52415,2014/9/10 00:00:00,Certified,ONLINE,"BODHTREE SOLUTIONS, INC",5201 GREAT AMERICA PARKWAY SUITE 532,,SANTA CLARA,CALIFORNIA,95054,54151,Computer Systems Design and Related Services,IT,15-1132,"Software Developers, Applications","Software Developers, Applications",Level IV,OES,134534.0,Year,134750.0,,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,134534.0,1
1004,28973,35155,A-14041-40703,2014/8/11 00:00:00,Certified,ONLINE,"INTEL MOBILE COMMUNICATIONS, INC.",2200 MISSION COLLEGE BLVD. RN4-151,,SANTA CLARA,CALIFORNIA,95054,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",Level IV,OES,127442.0,Year,127442.0,171300.0,Year,San Diego,CALIFORNIA,INDIA,H-1B,127442.0,1
1006,29074,35283,A-12262-99950,2013/10/21 00:00:00,Certified-Expired,ONLINE,"COOKING PAPA, INC.",2830 HOMESTEAD ROAD,,SANTA CLARA,CALIFORNIA,95051,7221,Full-Service Restaurants,Hospitality,13-2011,Accountants and Auditors,Accountants and Auditors,Level II,OES,69451.0,Year,69451.0,,Year,Foster City,CALIFORNIA,HONG KONG,H-1B,69451.0,1
1009,29146,35370,A-12311-12971,2014/2/19 00:00:00,Certified-Expired,ONLINE,"APPLIED MATERIALS, INC.",3225 OAKMEAD VILLAGE DRIVE,,SANTA CLARA,CALIFORNIA,95054,334111,Electronic Computer Manufacturing,Advanced Mfg,11-2021,Marketing Managers,Marketing Managers,,Other,78422.0,Year,92000.0,136200.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,78422.0,1
1011,29272,35542,A-13107-56817,2014/1/10 00:00:00,Certified-Expired,ONLINE,"PALO ALTO NETWORKS, INC.",4401 GREAT AMERICA PARKWAY,,SANTA CLARA,CALIFORNIA,95054,5415,Computer Systems Design and Related Services,IT,15-1150,Computer Support Specialists,Computer Support Specialists,,Other,90681.0,Year,100000.0,,Year,Santa Clara,CALIFORNIA,CANADA,H-1B,90681.0,1
1012,29295,35570,A-13126-61712,2014/2/3 00:00:00,Certified-Expired,ONLINE,INFOBLOX,3111 CORONADO DRIVE,,SANTA CLARA,CALIFORNIA,95054,334111,Electronic Computer Manufacturing,Advanced Mfg,15-1142,Network and Computer Systems Administrators*,Network and Computer Systems Administrators*,,Other,76957.0,Year,76957.0,,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,76957.0,1
1014,29399,35700,A-12283-05615,2014/5/7 00:00:00,Certified,ONLINE,"COHERENT, INC",5100 PATRICK HENRY DRIVE,,SANTA CLARA,CALIFORNIA,95054,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,Advanced Mfg,19-2012,Physicists,Physicists,Level I,OES,81078.0,Year,86528.0,,Year,Santa Clara,CALIFORNIA,FRANCE,H-1B,81078.0,1
1015,29418,35728,A-13127-62038,2014/1/16 00:00:00,Certified-Expired,ONLINE,"MARSTEK SOLUTIONS, LLC","1400 COLEMAN AVE, STE G21",,SANTA CLARA,CALIFORNIA,95050,541511,Custom Computer Programming Services,IT,15-1132,"Software Developers, Applications","Software Developers, Applications",Level I,OES,84802.0,Year,96000.0,,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,84802.0,1
1016,29440,35753,A-13116-59601,2014/1/13 00:00:00,Certified-Expired,ONLINE,KNO INC.,5155 OLD IRONSIDES DRIVE,,SANTA CLARA,CALIFORNIA,95054,541511,Custom Computer Programming Services,IT,15-1132,"Software Developers, Applications","Software Developers, Applications",,Other,109797.0,Year,109797.0,,Year,Santa Clara,CALIFORNIA,PERU,H-1B,109797.0,1
1018,29697,36059,A-13059-44365,2013/11/18 00:00:00,Certified-Expired,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072.00,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,78992.0,Year,78992.0,180000.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,78992.0,1
1019,29705,36072,A-13044-40254,2014/7/31 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072.00,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,78992.0,Year,78992.0,180000.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,78992.0,1
1020,29712,36081,A-13029-35473,2013/10/28 00:00:00,Certified-Expired,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072.00,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level II,OES,85176.0,Year,85176.0,180000.0,Year,Folsom,CALIFORNIA,PAKISTAN,H-1B,85176.0,1
1021,29736,36108,A-13066-46059,2014/8/18 00:00:00,Certified,ONLINE,NANYA TECHNOLOGY CORPORATION USA,5104 OLD IRONSIDES DR. SUITE 113,,SANTA CLARA,CALIFORNIA,95054,334413,Semiconductor and Related Device Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level IV,OES,139838.0,Year,139838.0,,Year,Santa Clara,CALIFORNIA,SOUTH KOREA,H-1B,139838.0,1
1022,29780,36161,A-13063-44917,2014/1/23 00:00:00,Certified-Expired,ONLINE,NVIDIA CORPORATION,2701 SAN TOMAS EXPRESSWAY,,SANTA CLARA,CALIFORNIA,95050,334111,Electronic Computer Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",,Other,107384.0,Year,141500.0,,Year,Santa Clara,CALIFORNIA,CHINA,H-1B,107384.0,1
1023,29802,36187,A-13023-33640,2014/6/16 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2061,Computer Hardware Engineers,Computer Hardware Engineers,Level II,OES,92477.0,Year,92477.0,180000.0,Year,Folsom,CALIFORNIA,CHINA,H-1B,92477.0,1
1026,29847,36240,A-13062-44872,2013/11/18 00:00:00,Certified-Expired,ONLINE,"FOVEON, INC.",471 EL CAMINO REAL,SUITE 200,SANTA CLARA,CALIFORNIA,95050,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",Advanced Mfg,15-1132,"Software Developers, Applications","Software Developers, Applications",,Other,94797.0,Year,94797.0,,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,94797.0,1
1027,29851,36246,A-13037-38408,2013/10/29 00:00:00,Certified-Expired,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072.00,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,78992.0,Year,78992.0,180000.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,78992.0,1
1028,29859,36258,A-13084-50525,2014/9/3 00:00:00,Certified,ONLINE,EMBRANE,2350 MISSION COLLEGE BLVD.  SUITE 703,,SANTA CLARA,CALIFORNIA,95054,519190,All Other Information Services,Other Economic Sector,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",Level II,OES,109138.0,Year,109138.0,,Year,Santa Clara,CALIFORNIA,ITALY,H-1B,109138.0,1
1029,29888,36295,A-13035-37331,2013/11/25 00:00:00,Certified-Expired,ONLINE,NVIDIA CORPORATION,2701 SAN TOMAS EXPRESSWAY,,SANTA CLARA,CALIFORNIA,95050,334111,Electronic Computer Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,86822.0,Year,98000.0,,Year,Santa Clara,CALIFORNIA,CHINA,H-1B,86822.0,1
1032,29919,36331,A-13023-33793,2014/8/4 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072.00,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level II,OES,85176.0,Year,85176.0,180000.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,85176.0,1
1033,30036,36464,A-13190-78482,2014/4/14 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,102643.0,Year,102643.0,171300.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,102643.0,1
1034,30058,36494,A-13219-86301,2014/5/2 00:00:00,Certified,ONLINE,NVIDIA CORPORATION,2701 SAN TOMAS EXPRESSWAY,,SANTA CLARA,CALIFORNIA,95050,334111,Electronic Computer Manufacturing,Advanced Mfg,11-9041,Architectural and Engineering Managers,Architectural and Engineering Managers,Level II,OES,143083.0,Year,170242.5,,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,143083.0,1
1038,30219,36693,A-13163-71275,2014/4/18 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",Level II,OES,86195.0,Year,86195.0,142900.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,86195.0,1
1040,30273,36758,A-13112-58309,2013/12/13 00:00:00,Certified-Expired,ONLINE,"APPLIED MATERIALS, INC.",3225 OAKMEAD VILLAGE DRIVE,,SANTA CLARA,CALIFORNIA,95054,33441,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,83287.0,Year,86000.0,98400.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,83287.0,1
1042,30337,36834,A-13171-73819,2014/3/3 00:00:00,Certified-Expired,ONLINE,SILVER PEAK,2860 DE LA CRUZ BLVD.,#100,SANTA CLARA,CALIFORNIA,95050,541511,Custom Computer Programming Services,IT,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",Level II,OES,109138.0,Year,140000.0,,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,109138.0,1
1043,30345,36844,A-13156-69151,2014/4/24 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level IV,OES,112195.0,Year,112195.0,211500.0,Year,Folsom,CALIFORNIA,MALAYSIA,H-1B,112195.0,1
1045,30386,36893,A-13183-77413,2014/4/18 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",,Other,106480.0,Year,108696.0,171300.0,Year,Santa Clara,CALIFORNIA,CHINA,H-1B,106480.0,1
1048,30564,37104,A-13199-81272,2014/5/19 00:00:00,Certified,ONLINE,KRYPT INC,3945 FREEDOM CIRCLE,STE 550,SANTA CLARA,CALIFORNIA,95054,541511,Custom Computer Programming Services,IT,15-1132,"Software Developers, Applications","Software Developers, Applications",Level II,OES,98675.99,Year,100000.0,,Year,Sunnyvale,CALIFORNIA,INDIA,H-1B,98675.99,1
1049,30593,37134,A-13142-65583,2014/1/23 00:00:00,Certified-Expired,ONLINE,"ARISTA NETWORKS, INC.",5453 GREAT AMERICA PARKWAY,,SANTA CLARA,CALIFORNIA,95054,541511,Custom Computer Programming Services,IT,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",,Other,86268.0,Year,86500.0,120000.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,86268.0,1
1055,30745,37315,A-13301-06581,2014/5/8 00:00:00,Certified,ONLINE,MARVELL SEMICONDUCTOR INC,5488 MARVELL LANE,,SANTA CLARA,CALIFORNIA,95054,334413,Semiconductor and Related Device Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,89660.0,Year,90000.0,,Year,Santa Clara,CALIFORNIA,CHINA,H-1B,89660.0,1
